Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Tweet,Image_Text,Image_URL
Ministry of Finance,WhatsApp,Fake Scheme,"The Ministry of Finance is offering ₹32,849 to every Indian citizen or the poor class as financial aid to overcome the crisis, requiring registration through a provided link.","A message with a link claims to offer a benefit of ₹32,849 in the name of the Ministry of Finance as an aid to the poor class and is further seeking the recipient's personal details.  #PIBFactCheck  This message is FAKE  No such benefit is announced by  @FinMinIndia","वित्त मंत्रालय MINISTRY OF FINANCE सत्यमेव जयते After taking into consideration the financial crisis experienced by the Indian people, the Ministry of Finance decided to give every citizen an amount of (₹32849) to reduce the severity of the crisis Register for support Forwarded Rs 32,849 for every indian citizen Click here to register tinyurl.com After the surge in prices, the government decided to give the Indian people an amount of ₹32849 for every citizen who meets the conditions as an aid to the poor class to overcome the crisis. Enter and register now and make sure to register correctly - https://tinyurl.com/eu6jff7p",https://pbs.twimg.com/media/F0bZ-WmacAAz5LG?format=jpg&name=small
RBI,WhatsApp,Fake Currency Claim,₹500 notes with a star symbol (*) are fake and are being circulated in the market.,कहीं आपके पास भी तो नहीं है स्टार चिह्न (*) वाला नोट  कहीं ये नकली तो नहीं  घबराइए नहीं   #PIBFactCheck   ऐसे नोट को नकली बताने वाले मैसेज फर्जी है।    @RBI  द्वारा दिसंबर 2016 से नए ₹500 बैंक नोटों में स्टार चिह्न (*) की शुरुआत की गई थी   https:// rbi.org.in/commonman/Engl ish/scripts/PressReleases.aspx?Id=2015 …,"Forwarded many times भारतीय रिज़र्व बैंक पाँच सौ रुपये RESERVE BANK OF INDIA ₹500 1AB*380187 1AB*380187 पिछले 2-3 दिनों से *चिह्न वाले ये 500 के नोट बाजार में चलन शुरू हो गए हैं। ऐसा नोट कल इंडसइंड बैंक से लौटाया गया। यह नकली नोट है। आज भी एक मित्र को ऐसे 2-3 नोट मिले, लेकिन ध्यान न देने के कारण उन्होंने तुरंत वापस कर दिए। ग्राहक ने यह भी कहा कि यह नोट किसी ने सुबह दिया था। अपना ध्यान रखें बाजार में नकली नोट ले जाने वाले फेरियों की संख्या में बढ़ोतरी हुई है।",https://pbs.twimg.com/media/F19My_kaAAAkKez?format=jpg&name=small
Mudra Finance,Other,Loan Fraud,"A letter claims to approve a loan of ""3,00,000"" from Mudra Finance at 2% interest, requiring an upfront payment of ""36,500"" as legal insurance charges.","An approval letter claims to grant a loan of ₹3,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹36,500 as legal insurance charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ","Date:3/03/2023 Ref.:MUDRA/LON/CORRS/20-22/9208 To, <Name> Subject: Approved of Loan ""<Loan Type>"" Greetings from Mudra Finance. APPROVAL LETTER AADHAR NO :- At the outset we welcome you to the world of Mudra Finance. It is my privilege to inform you that an amount of 3,00000 only can be financed by us for you with loan interest rate at 2% Per Ann- umoneducing b.This is to inform your file come under process positively of which. Section Break(Continuous) Loan Details:- Loan Amt :- 3,00000/- Loan Period:- 3 years/- EMI :- (in Rs.- 8592/- ) Customer account details A/C: Bank Account Details: Mudra Finance Your need to pay legal insurance charge Rs 36500 through NEFT/RTGS/Online Banking/UPI in following bank account: Note: Cash Deposited Not Accepted by Company. Online Transaction Needed for your Bank Account / Transaction Verification). (Thank you for choosing Mudra Finance and assuring your best Services at all time, looking forward to a great and long relationship with you. For More Details Contact our executive. Thanking you Your Truly Dev Anan Customer Business Managing Director M.D. Verified By. Verified By. Er Soumyendu Ganguly",https://pbs.twimg.com/media/F13qRJ1aIAU2D7b?format=jpg&name=small
Pradhan Mantri Mudra Yojana,Other,Loan Fraud,"A letter falsely claims that a loan of Rs. 1,00,000 under the Pradhan Mantri Mudra Yojana has been approved and requires an upfront payment of Rs. 1,750 as loan agreement charges.","An approval letter claims to grant a loan of ₹1,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹1,750 as loan agreement charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ","Pradhan Mantri MUDRA LOAN Govt. Approved 699/A, (NEW NO. 70) 45TH CROSS 8TH BLOCK, RICHMOND TOWERS BANGALORE KARNATAKA 560070 IN 18005261346 Yojna Regd Since 2015 (MUDRA FINANCE Govt Appd.) Regd No: NRI-IFL-6489-R9746031-2004 Corporate identification No. (CIN)U65100MH2015PLC274695 APPLICATION NUMBER:XXXX844 3296 Subject: Your Application for Personal Loan facility vide APPLICATION NO.DL1712010/NRI/FUND/2021 LOAN APPROVAL LETTER Dear Sir/Madam, APPROVED We are pleased to inform you that with reference to the above application, we have in principle sanctioned You a loan facility subject to the loan terms and conditions, which are given below: We would request you to kindly deposit your loan agreement charges of Rs.1,750/- to our company Authorized advocate process your Loan further. Application No. DL1712010/NRI/FUND/2021 Amount Each EM Monthly Loan Amount Sanctioned: Rs. 1,00,000/- Loan Tenor: 36 Months Mode of Disbursement: NEFT Refundable Agreement Fees: Rs.1,000/- REFUNDABLE AGREEMENT CHARGES. Rate of Interest(ROI): 5% P.A Interest UNDER N.R.I FUNDING SCHEME Funding of Loan: Pradhan Mantri Mudra Yojana Fees on Part Prepayment: 0% on amount prepaid Security: As may be specified PMMY LOAN LTD from time to time in its sole discretion.",https://pbs.twimg.com/media/F0G4_26acAEagR4?format=png&name=small
Government of India,YouTube,Fake Scheme,"A video claims that the Government of India is crediting Rs 85,000 into bank accounts, and people should withdraw the money immediately.","A video on the YouTube channel 'Educational Dost'   claimed that Rs 85,000 are being credited into bank accounts & recommends people to Withdraw money from bank accounts immediately  #PIBFactcheck  This claim is Fake  No such decision has been taken by the Government of India",बैंक खाते में पैसा मिलना शुरू ₹85000 रुपये Reserve Bank of India बैंक से पैसे निकालो तुरंत मोदी आधार कार्ड फ्री मोबाइल आज की सबसे बड़ी खबर ! Aaj ke mukhya samachaar!... 18M views • 1 year ago ताजा खबर Educational Dost @EducationalDost 3.44M subscribers @PIBFactCheck,https://pbs.twimg.com/media/F3BCL-xagAEY8QY?format=png&name=360x360
Income Tax,WhatsApp,Fake Refund,"A message claims the recipient has been approved for an income tax refund of Rs. 15,490 and must update their bank account information via a provided link to receive it.","A viral message claims that the recipient has been approved for an income tax refund of ₹ 15,490.  #PIBFactCheck    This claim is 𝐅𝐚𝐤𝐞.    @IncomeTaxIndia  has 𝐧𝐨𝐭 sent this message.  𝐁𝐞𝐰𝐚𝐫𝐞 of such scams & 𝐫𝐞𝐟𝐫𝐚𝐢𝐧 from sharing your personal information.","Dear Sir, You have been approved an income tax refund of Rs. 15,490 /-, the amount will be credited to your account shortly. Please verify your account number 5XXXXX6755. If this is not correct, please update your bank account information by visiting the link below. https://bit.ly/20wpYK6",https://pbs.twimg.com/media/F2geMkibAAASyg0?format=jpg&name=small
Indian Oil,Website,Fake Scheme,"Indian Oil is offering a 
	6,000 fuel subsidy gift to participants who complete a questionnaire.","""Chance to win Fuel Subsidy Gift worth ₹6,000 from the Indian Oil Corporation""  Sounds enticing right? However,  This lucky draw is #FAKE  It's a scam & is not related to  @IndianOilcl   Always run any suspicious information related to the Government of India by #PIBFactCheck","Indian Oil -National Fuel Subsidy 16 August, 2023 Congratulations! Indian Oil -National Fuel Subsidy Through the questionnaire, you will get 6000 Rupee .",https://pbs.twimg.com/media/F3ovDcaasAAo-j9?format=jpg&name=small
Government of India,Other,Fake Scheme,The Government of India is giving 1 lakh rupees to Aadhar card holders.,Claim: #AadharCard holders will get 1 lakh rupees from the Government of India.  #PIBFactCheck  This claim is #Fake   No such announcement has been made by the Government of India.   @UIDAI,योजना! बड़ी खुशखबरी सरकार दे रही हैं आधार कार्ड पर ₹100000 सरकार दे रही हैं आधार कार्ड पर ₹100000 - जानें आवेदन की पूरी प्रक्रिया 4.1K views • 2 weeks ago Sarkari Vlog 4.59M subscribers,https://pbs.twimg.com/media/F3A8icpb0AET-WB?format=png&name=360x360
Central Government,WhatsApp,Fake Scheme,"A WhatsApp message claims that under a free mobile recharge scheme by Prime Minister Narendra Modi, all Indian users are being offered a free 28-day recharge worth ₹239.",SCAM ALERT  एक #WhatsApp मैसेज में दावा किया जा रहा है कि केन्द्र सरकार द्वारा 'फ्री मोबाइल रिचार्ज योजना' के तहत सभी भारतीय यूजर्स को 28 दिन का रिचार्ज फ्री में दिया जा रहा है  #PIBFactCheck  यह दावा #फ़र्ज़ी है।  केन्द्र सरकार द्वारा ऐसी कोई योजना नहीं चलाई जा रही है।,"Forwarded प्रधानमंत्री नरेंद्र मोदी के द्वारा फ्री मोबाइल रिचार्ज योजना के तहत सभी भारतीय यूजर को ₹239 का 28 दिन वाला रिचार्ज फ्री में देने का वादा किया है तो अभी नीचे नीले रंग के लिंक पर क्लिक करके अपने नंबर पर रिचार्ज करें। मैंने भी इससे अपना 28 दिन का फ्री Recharge किया है, आप भी अभी नीचे दी गयी लिंक पर क्लिक करके 28 दिन का Free Recharge प्राप्त करें (Last Date - March 2023) https://bit.ly/3I9FV2L",https://pbs.twimg.com/media/F4DM-sjaAAAV1Xk?format=jpg&name=small
Indian Government,Website,False Political Claim,Finance Minister Nirmala Sitharaman has broken her silence on the Manipur issue and presented evidence against Prime Minister Narendra Modi in court.,Claim: Finance Minister  @nsitharaman  has submitted some evidence against Prime Minister  @narendramodi   #PIBFactCheck  This claim is 𝐅𝐚𝐤𝐞  Kindly avoid sharing videos that are not genuine or accurate.,मणिपुर पर चुप्पी तोड़ते हुए निर्मला ने मोदी के खिलाफ दिखाए कोर्ट में सबूत ! मोदी ने देश बर्बाद.. मणिपुर का Video देखने के बाद सबूत जुटाते ही निर्मला सीत रमण 2.4K views • 2 hours ago,https://pbs.twimg.com/media/F3A8dVPbcAARpX7?format=png&name=small
India Post Payments Bank,SMS,Account Block,A customer's India Post Payments Bank account has been blocked and will remain blocked if their PAN card is not updated immediately via a provided link.,Claim: The customer's India Post Payments bank account will be blocked within 24 hours if their Pan card is not updated.  #PIBFactCheck   This claim is #Fake.   @IndiaPostOffice  never sends any such messages.   Never share your personal & bank details with anyone.,"IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Customer CIF Number",https://pbs.twimg.com/media/F63ZICBaUAA15jE?format=jpg&name=small
Mudra Finance / PM Mudra Yojana,Other,Loan Fraud,"A letter, purportedly from Mudra Finance, claims to approve a loan of ₹3,00,000 under the PM Mudra Yojana, contingent on an upfront payment of ₹36,500 for legal insurance charges.","An approval letter claims to grant a loan of ₹3,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹36,500 as legal insurance charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ","Ref.:MUDRA/LON/CORRS/20-22/9208 APPROVAL LETTER To, <Name> AADHAR NO :- Subject: Approved of Loan ""<Loan Type>"" Greetings from Mudra Finance. At the outset we welcome you to the world of Mudra Finance. It is my privilege to inform you that an amount of 3,00000 only can be financed by us for you with loan interest rate at 2% Per Ann- umoneducing b.This is to inform your file come under process positively of which. Section Break(Continuous) Loan Details:- Loan Amt :- 3,00000/- Loan Period:- 3 years/- EMI:- (in Rs.- 8592/- ) Customer account details A/C: Bank Account Details: Mudra Finance Your need to pay legal insurance charge Rs. 36500/- through NEFT/RTGS/Online Banking/UPI in following bank account: Note: Cash Deposited Not Accepted by Company. Online Transaction Needed for your Bank Account / Transaction Verification). (Thank you for choosing Mudra Finance and assuring you our best Services at all time, looking forward to a great and long relationship with you. For More Details Contact our executive. Thanking you Your Truly Dev Anan Customer Business Managing Director M.D. Verified By Verified By: Er/ Soumyendu Ganguly",https://pbs.twimg.com/media/F5AxP4absAAZdIv?format=jpg&name=small
RBI,Other,Fake Scheme,"An email impersonating RBI claims the recipient is a beneficiary of a foreign exchange transfer and is eligible for a large sum of money (e.g., 4 CRORE, 75 LAKHS) upon payment of a fee.","An e-mail allegedly sent by RBI claims to offer ₹4 crores 62 lakhs on payment of ₹12,500.  #PIBFactCheck:   This e-mail is #Fake   @RBI  does not send emails asking for personal information  Read here:  https:// rbi.org.in/commonman/Engl ish/Scripts/PressReleases.aspx?Id=2440 …","भारतीय रिज़र्व बैंक Reserve Bank of India India's Central Bank FOREIGN REMITTANCE DEPARTMENT ONLINE BANKING UNIT 6, SANSAND MARG,-110001 New Delhi, India. IMMEDIATE PAYMENT NOTIFICATIONS Our ref: Cub/Hog/Oxd1/2022 Payment file: RBI/Id1033/2017/2022 Payment amount: 4.CRORE, 75 LAKHS = 500,000 GBPS RESERVE BANK OF INDIA OFFICIAL Dear Beneficiary: The Foreign Exchange Transfer Department hereby inform you that you were listed as a beneficiary in the schedule of GOVERNMENT, which is yet to be paid up-till now due to some reason. According to your file record your payment is authorized by The Reserve Bank of India RBI Tax Committee on Finance Review meeting (RBI) Governor Shaktikanta Das made all a practice to withhold funds from government bank accounts. We inform you that (4 CRORE) THIS INDIA will be paid.",https://pbs.twimg.com/media/F4sSfyMbUAA8eY8?format=png&name=small
RBI,Other,Bank License Cancellation,"The Reserve Bank of India (RBI) has cancelled the license of Abhyudaya Co-operative Bank Ltd., Mumbai.","A Press Release, dated 25 October 2023, being shared online, alleges that  @RBI  has canceled the license of Abhyudaya Co-operative Bank Ltd.  #PIBFactCheck  This Press Release is fake  RBI has not issued any such Press release  For more info visit:  http:// rbi.org.in","भारतीय रिज़र्व बैंक RESERVE BANK OF INDIA वेबसाइट: www.rbi.org.in Website: www.rbi.org.in ई-मेल/email: helpdoc@rbi.org.in संचार विभाग, केंद्रीय कार्यालय, शहीद भगत सिंह मार्ग, फोर्ट, मुंबई - 400 001 फोन/Phone 022 - 2266 0502 October 25, 2023 RBI cancels the licence of Abhyudaya Co-operative Bank Ltd., Mumbai The Reserve Bank of India (RBI), vide order dated October 25, 2023, has cancelled the licence of Abhyudaya Co-operative Bank Ltd., Mumbai. Consequently, the bank ceases to carry on banking business, with effect from the close of business on October 26, 2023. The Commissioner and Registrar of Cooperative, Maharashtra has also been requested to issue an order for winding up the bank and appoint a liquidator for the bank. RBI cancelled the licence of the bank as: i) The bank does not have adequate capital and earning prospects. As such, it does not comply with the provisions of Section 11(1) and Section 22 (3) (d) read with Section 56 of the Banking Regulation Act, 1949. ii) The bank has failed to comply with the requirements of Sections 22(3) (a), 22 (3) (b), 22(3)(c), 22(3)(d) and 22(3)(e) read with Section 56 of the Banking Regulation Act, 1949. iii) The continuance of the bank is prejudicial to the interests of its depositors; iv) The bank with its present financial position would be unable to pay its present depositors in full; and v) Public interest would be adversely affected if the bank is allowed to carry on its banking business any further. 2. Consequent to the cancellation of its licence, Abhyudaya Co-operative Bank Ltd., Mumbai is prohibited from conducting the business of 'banking' which includes, among other things, acceptance of deposits and repayment of deposits as defined in Section 5(b) read with Section 56 of the Banking Regulation Act, 1949 with immediate effect. 3. On liquidation, every depositor would not be entitled to receive deposit insurance claim amount of his/her deposits from Deposit Insurance and Credit Guarantee Corporation (DICGC) that is non-payment of premium. As per the data submitted by the bank, 99.92% of the depositors are not entitled to receive full amount of their deposits from DICGC. Press Release: 2023-2024/1020 (Yogesh Dayal) Chief General Manager",https://pbs.twimg.com/media/F9a9GsXa8AACaIl?format=jpg&name=small
RBI,Other,Fake Fee,"The Reserve Bank of India has issued a receipt for a foreign exchange conversion fee of ₹57,200.","A receipt allegedly issued by the Reserve Bank of India for payment of ₹57,200 as Foreign Exchange Conversion Fee is doing the rounds on social media  #PIBFactCheck:  This receipt is #Fake   @RBI  does not issue any such receipts   https:// rbi.org.in/commonman/Engl ish/Scripts/PressReleases.aspx?Id=2440 …","भारतीय रिज़र्व बैंक Reserve Bank of India India's Central Bank Receipt No: 0319-0018020 Receipt No: 0319-0018020 RESERVE BANK OF INDIA COLLECTOR'S RECEIPT Station NEW DELHI Date 27-09-2023 Received from MS. KOKILA. A The sum of RS 57,200.00 (RUPEES FIFTY SEVEN THOUSAND TWO HUNDRED ONLY Being (description of payment) *FOREIGN EXCHANGE/CONVERSION FEE Balance * NIL *If space is insufficient further particulars must be inserted on the back of Receipt. ₹57,200 : 00 Signature of Cashier RESERVE BANK OF INDIA (New Delhi) 27-09-2023 12:27:31 Reserve Bank Of India 0319-0019020",https://pbs.twimg.com/media/F7VrGnIbIAAyzSi?format=jpg&name=small
Government,SMS,Fake Scheme,"A message falsely claims that a loan of Rs. 20,55,000 under the Mudra Yojana 2023 is ready for sanction and can be verified by clicking a suspicious link.","A viral message circulating on social media claims to offer a loan of ₹20,55,000 under the ""PM Mudra Yojana”    #PIBFactCheck:     This message is #Fake   Never click on any such suspicious links    Do not respond to emails/SMS asking to share your banking/personal details","Mudra Yojana 2023 - Rs.20,55,000 is ready to sanctioned - Verify your mobile number and check Loan eligibility in minutes! http://epq9.com/PPQNHAKHYLNNNL",https://pbs.twimg.com/media/F7_rq8saQAAq-Iz?format=jpg&name=small
India Post Payments Bank,SMS,Account Block,A user's India Post Payments Bank account has been blocked and requires immediate PAN card update via a provided link to unblock it.,Claim: The customer's India Post Payments bank account will be blocked within 24 hours if their Pan card is not updated.  #PIBFactCheck  This claim is #Fake.   @IndiaPostOffice  never sends any such messages.  Never share your personal & bank details with anyone.,"IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Enter Your Account Number Customer ID (CIF Number) Enter Your Customer ID (CIF Number)",https://pbs.twimg.com/media/F-4wzbXaQAAGRIb?format=png&name=small
India Post,Website,Fake Scheme,"India Post is offering a Diwali gift, such as an iPhone 15, through a lucky draw or questionnaire.",A bogus lucky draw allegedly from  @IndiaPostOffice  is luring people into providing their personal information with the promise of winning an iPhone 15.  #PIBFactCheck  It is a #Scam & is not related to India Post  Be cautious! Refrain from clicking on such suspicious links,"SCAM ALERT! India Post - Diwali gift 14 May, 2021 Congratulations! India Post - Diwali gift Through this questionnaire, you will have a chance to win an Apple iPhone 15. भारतीय डाक Congratulations! You have a chance to win a gift. Please click the ""Claim Gift"" button to continue. Claim Gift Question 1 of 4 : Do you know India Post? yes no",https://pbs.twimg.com/media/F9_lvu2bMAAtsif?format=jpg&name=small
"BSNL, TRAI, Government of India",WhatsApp,Account Block,"Customers' SIM KYC has been suspended by TRAI, and their SIM cards will be blocked within 24 hours, requiring immediate action.",People have received notices from BSNL claiming:   Customer's KYC has been suspended by  @TRAI    Sim cards will get blocked within 24 hrs  #PIBFactCheck   These claims are #Fake  BSNL never sends any such notices  Never share your personal & bank details with anyone,"AN ISO 9001:2008 CERTIFICATES TELECOM COMPANY NOTICE Dear Customer, Your Sim KYC has been suspended by Telecom Regulatory Authority of India. Your Sim card will be blocked within 24 hours. Call Immediately KYC VERIFICATION EXECUTIVE NAME:- ABHINASH SHARMA CALL: 8961216971 Note:- CONTACT THE SERVICE PROVIDER IMMEDIATELY BEFORE YOUR SIM IS BLOCKED Yours Truly Dev Anan Customer Support GOVN. OF INDIA Ministry of Communication GOVERNMENT OF INDIA",https://pbs.twimg.com/media/F-PjOYLagAAGBjf?format=jpg&name=small
Government,Website,Fake Scheme,"A video claims that the Modi government is depositing ₹6000 into everyone's bank account and has launched new schemes for farmers offering up to ₹37,000.","It is claimed in a video that everyone will get 6,000 rupees in their bank account.  #PIBFactCheck   This claim is Fake",13 सितंबर 2023 भयंकर ऐलान 3 चीजें बंद बैंक खाता में ₹6000 किसानों के लिए मोदी सरकार ने शुरू की 5 नई स्कीमें मिलेंगे 37-37 हजार रु. 13 सितंबर 2023 के मुख्य समाचार Taza Khabre ! Today breaking news 26k views 1 month ago Aapke Guruji @aapkeguruji3379 3.47M subscribers 87 videos Business Email :- > Subscribe आज की ताजा खबरे ******,https://pbs.twimg.com/media/GAMFDvnXAAAbrHw?format=jpg&name=small
Government,Website,Fake Scheme,"Aadhaar Card holders will get 15,000 rupees from the Government.","One video claims that Aadhaar Card holders will get 15,000 rupees from the Government.  #PIBFactCheck  This claim is Fake",20 अक्टूबर 2023 पूरे भारत में ये 8 चीजें बंद SBI Aaj ke mukhya samachar 20 October 2023 aaj ka taaja khabar | Today's Breaking News... Aapke Guruji,https://pbs.twimg.com/media/GAMExVUXsAAy3Ie?format=jpg&name=small
Indian Government,Website,Fake Scheme,"A video claims that the government will provide 9,000 rupees to women, farmers, labourers, and the unemployed under a new Union Budget for Diwali, starting from November 6, 2023.","In a video, it has been claimed that a new Union Budget has been prepared on the occasion of Diwali, under which women, farmers, labourers and unemployed, among others, will get 9,000 rupees from the Government.  #PIBFactCheck   This claim is Fake",आज 06 नवंबर 2023 से ई-श्रम भयंकर ऐलान 15 बड़ी खबरें दिवाली तोफ 9 हजार Aaj ke mukhya samachar 6 Nov aaj ka taaja khabar | Today breaking n... 50K views • 1 day ago Aapke Guruji @aapkeguruji3379 • 3.47M subscribers • 87 videos Business Email :- > आज की ताज़ा खबरें Subscribe,https://pbs.twimg.com/media/GAMGzW6XkAAZNMZ?format=jpg&name=small
Finance Ministry,News Article,Fake Scheme,"The Finance Minister will announce a new policy in the upcoming budget that changes working hours to 10-12 hours a day for 4 days, allowing for 3 days off, and impacts salary and PF.",An image circulating on social media claims that the Union Finance Minister  @nsitharaman  will announce a 3-day week off policy in the next #Budget   #PIBFactCheck  This claim is #fake  No such proposal has been floated by  @FinMinIndia,"2 DAYS WEEK OFF OUTDATED, GOVT BRINGS 3 DAYS WEEK OFF POLICY @ahmedabad_live AHMEDABAD LIVE Union Finance Minister Nirmala Sitharaman Will Present The Sixth Budget On February 1, 2024. The Government Can Make Several Announcements To Promote Business, Increase The Job Going People To Increase It. Promote Banking, And So On. Your Office's Working Hours, Holiday, And Salary May Change. From July 1, Companies Will Be Able To Increase Working Hours To 12 Hours. Employees Might Have To Work 10-12 Hours A Day For 4 Days. Companies Will Be Able To Give Employees 3 Days Of Leave After These New Rules. Cash In Hand May Decrease, But PF May Increase. The Modi Government Plans To Implement Labor Law Regulations Immediately. #AhmedabadLive Send us your queries here Follow us on social media! +918799711259 socialmedia@pib.gov.in @PIBFactcheck /PIBFactCheck",https://pbs.twimg.com/media/GBNkVbrbcAA5gx9?format=jpg&name=small
National Career Services,Email,Fake Job Offer,A fake email impersonating National Career Services claims the recipient has been selected for a Data Entry Operator job with a monthly salary of 22K and will receive a welcome kit.,"A #fake e-mail allegedly sent by National Career Services ( @NCSIndia ) claims to offer ₹22,000 per month and a welcome kit via speed post to the recipient  #PIBFactCheck  This is a scam   National Career Services never sends any such e-mails","Required job confirmation Inbox National career servi to v Dear Ncs Employee, Congratulation! We are pleased to confirm that you have been selected to work for our company we are delighted to make you the following job offer as a DATA ENTRY OPERATOR. we are glad to inform you that your resume has been selected for the job. we are confident and look forward to working with you. Please confirm your acceptance of this offer We will provide you work from home job interested candidates send your name address contact details. We are giving you welcome kit at your address by speed post. We think that your experience and skills will be a valuable asset to our company. SALARY - 22K IN HAND MONTHLY customer support number : 8810549603 (9.00AM-6.30PM)",https://pbs.twimg.com/media/GBDr43kacAA00ll?format=jpg&name=small
Government of India,YouTube Video,Fake Scheme,"A video claims that 500-rupee notes have been banned and 5,000 rupees will be deposited into people's accounts under a government scheme like E-Shram.","A video claims that 500-rupee notes have been banned in the country. It further claims that 5,000 rupees will be deposited into people’s accounts  #PIBFactCheck   This claim is Fake",आज 09 अक्टूबर 2023 ई-श्रम बंद भयंकर ऐलान 10 बड़ी खबरें आपके खाते में ₹5000 Aaj ke mukhya samachar 9 Oct aaj ka taaja khabar | Today Breaking news Aapke Guruji आज की ताजा खबरें,https://pbs.twimg.com/media/GAMGPHwW8AAacTq?format=jpg&name=small
Indian Government,Website,Fake Scheme,"The Prime Minister has announced during his address on Diwali that 25,000 rupees will be transferred to the bank accounts of women, the poor, unemployed, labourers and AADHAAR card holders.","In the video, it is claimed that the Prime Minister has announced during his address on Diwali that 25,000 rupees will be transferred to the bank accounts of women, the poor, unemployed, labourers and  AADHAAR card holders  #PIBFactCheck  This claim is Fake",02 नवंबर 2023 से पूरे भारत में ये 7 चीजें बंद। मुर्गा खाना बंद। Aaj ke mukhya samachar | aaj ka taaja khabar | Toda Bre... Aapke Guruji.,https://pbs.twimg.com/media/GALcJEsa8AA8FS8?format=jpg&name=small
Income Tax,SMS,Fake Refund,"The message falsely claims that the recipient has been approved for an income tax refund of Rs. 15,490 and instructs them to update their bank account information via a provided link.","A viral message claims that the recipient has been approved for an income tax refund of ₹ 15,490.  #PIBFactCheck    This claim is 𝐅𝐚𝐤𝐞.    @IncomeTaxIndia  has 𝐧𝐨𝐭 sent this message.  𝐁𝐞𝐰𝐚𝐫𝐞 of such scams & 𝐫𝐞𝐟𝐫𝐚𝐢𝐧 from sharing your personal information.","Forwarded many times Dear Sir, You have been approved an income tax refund of Rs. 15,490 /-, the amount will be credited to your account shortly. Please verify your account number 5XXXXX6755. If this is not correct, please update your bank account information by visiting the link below. https://bit.ly/20wpYK6",https://pbs.twimg.com/media/GDzEYZQboAALqt_?format=jpg&name=small
Indian Government,WhatsApp,Fake Scheme,"The central government is providing a loan of ₹4,78,000 to all Aadhar card owners.","It is being claimed that the central government is providing a loan of ₹4,78,000 to all Aadhar card owners  #PibFactCheck   This claim is #fake   Do not forward such messages   Never share your personal/financial details with anyone","सरकार दे रही हे सभी आधार वालो को ₹ 4,78,000 APPLY NOW आधार कार्ड से लोन",https://pbs.twimg.com/media/GEWkmGJWAAEi74U?format=jpg&name=small
PM Mudra Yojana,Other,Loan Fraud,"A letter falsely claims to approve a loan of ₹5,00,000 under the PM Mudra Yojana, requiring an upfront payment of ₹2,100.","A #Fake approval letter claims to grant a loan of ₹5,00,000 under PM Mudra Yojana on payment of ₹2,100  #PIBFactCheck   @FinMinIndia  has not issued this letter  Refinancing Agency - MUDRA doesn't lend directly to micro-entrepreneurs/individuals   http:// mudra.org.in/FAQ","SUBJECT:-APROVEL OF LOAN Dear sir MR/MRS:- We very glad to inform you that in response to your request in order to meet your tight financial problems, we have requested a Long-term loan of 500,000. You want to make your expenses. A bank has decided to approve your application loan 5,00,000. The interest rate that you will have to pay has been calculated with the help of standard fixed rate of 4%. We hope that this interest. As discussed earlier, you will have to pay the loan back in years. However, the interest rate may change depending on the duration you choose. You will have to make the subsequent payment on the 1st of month. Please review the terms and conditions in loan agreement. The terms have been completely outlined in the promissory note. The signed agreement papers. Please make a payment of 2100Rs. File Agreement Charge (incl. of all taxes.) We have attached several related documents with this letter that are favorable for you. Please review the form thoroughly and return us so that the processing of loan can be done. Sincerely, P.M. MUDRA FINANCE FINANCIAL DEPARTMENT SACHIVALAY ARERA HILLS BHOPAL M.P. 462027 INDIA",https://pbs.twimg.com/media/GCgkpWVboAArIk3?format=jpg&name=small
