Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Tweet,Tweet_URL,Image_Text,Image_URL
"BSNL, TRAI, Government of India",WhatsApp,Account Block,"A notice falsely claims that a customer's SIM KYC has been suspended by TRAI and their SIM card will be blocked within 24 hours, urging them to call immediately.",People have received notices from BSNL claiming:   Customer's KYC has been suspended by  @TRAI    Sim cards will get blocked within 24 hrs  #PIBFactCheck  These claims are #Fake  BSNL never sends any such notices  Never share your personal & bank details with anyone,https://x.com/PIBFactCheck/status/1745038168737599930,"AN ISO 9001:2008 CERTIFICATES TELECOM COMPANY NOTICE Dear Customer, Your Sim KYC has been suspended by Telecom Regulatory Authority of India. Your Sim card will be blocked within 24 hours. Call Immediately KYC VERIFICATION EXECUTIVE NAME:- ABHINASH SHARMA CALL: 8961216971 Note:- CONTACT THE SERVICE PROVIDER IMMEDIATELY BEFORE SIM CARD WILL BE BLOCKED Yours Truly Dev Anan Customer Support Ministry of Communication GOVERNMENT OF INDIA BSNL TRAI Telecom Regulatory Authority of India GOVN. OF INDIA Customer Support GOVERNMENT",https://pbs.twimg.com/media/GDeeosvaIAAIAb3?format=png&name=small
India Post Payments Bank,SMS,Account Block,The user's India Post Payments Bank account has been blocked and requires immediate PAN card update via a provided link to unblock it.,Claim: The customer's India Post Payments bank account will be blocked within 24 hours if their Pan card is not updated.    #PIBFactCheck   This claim is #Fake.     @IndiaPostOffice  never sends any such messages.   Never share your personal & bank details with anyone,https://x.com/PIBFactCheck/status/1739944981794841031,"IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Enter Your Account Number Customer ID Enter Your Customer ID (CIF number)",https://pbs.twimg.com/media/GCWGmbAaEAALADz?format=png&name=small
PM Mudra Yojana,Other,Loan Fraud,"A letter falsely claims to approve a loan of 
3,00,000 under the PM Mudra Yojana, contingent on an upfront payment of 
36,500 for legal insurance charges.","An approval letter claims to grant a loan of ₹3,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹36,500 as legal insurance charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ",https://x.com/PIBFactCheck/status/1744659340286624225,"Date: 3/03/2023 Ref. MUDRA/LON/CORRS/20-22/92C APPROVAL LETTER To, <Name> Kishan madhviya Aadhar No :- <Aadhar Number> Subject: Approved of Loan ""Loan Type"" Greetings from Mudra Finance. At the outset we welcome you to the world of Mudra Finance. It is my privilege to inform you that an amount of 3,00000 only can be financed by us for you with loan interest rate at 2% Per Ann- umoneducing b. This is to inform your file come under process positively of which. Section Break (Continuous) Loan Details: Loan Amt :- 3,00000/- Loan Period:- 3 years/- EMI :- (in Rs.- 8592/-) Customer account details A/C Bank Account Details: Mudra Finance Your need to pay legal insurance charge Rs.36500/- through NEFT/RTGS/IMPS/UPI following bank account. Note: Cash Deposited Not Accepted by Company (Online Transa on Needed your Bu /Transaction Verification). (Thank you for choosing Mudra Finance and assuring you of our best me, looking forward to a great and long relationship with you.) For More Details Contact our executive. Thanking you Your Truly Dev Anan Customer Business M.D. Verified By Es Soumyendu Ganguly 4th floor, Mudra Finance, Pune - Ahmednagar Hwy, Behind Hyatt Hotel, Viman Nagar, Pune, Maharashtra 411014 1202,12th Floor, Infinity Benchmark, Plot G-1 & EP, Sector V, Bidhannagar, Kolkata, West Bengal 700091 Customer care : 8017039267",https://pbs.twimg.com/media/GDZFhFpawAAuvMw?format=jpg&name=small
Reserve Bank of India,WhatsApp,Fake Currency,₹500 notes marked with a star symbol are fake and have started circulating in the market.,Do you have a ₹500 note with a star symbol (*)   Are you worried it's fake  Fret no more   #PIBFactCheck   The message deeming such notes as fake is false!    Star marked(*)₹500 banknotes have been in circulation since December 2016    Read:  https:// rbi.org.in/commonman/Engl ish/scripts/PressReleases.aspx?Id=2015 …,https://x.com/PIBFactCheck/status/1745734362140901433,"500 notes marked with * have started circulating in the market. Such note was returned from IndusInd Bank. This is a fake note. Even today received 2-3 such notes from a customer, but returned it immediately due to attention. The customer also said that this note was given by someone in the morning. Be careful, there has been an increase in the number of people walking around with fake notes in the market.",https://pbs.twimg.com/media/GDoX6tya8AArB-B?format=jpg&name=small
Income Tax,SMS,Fake Refund,"A message falsely claims the recipient has been approved for an income tax refund of Rs. 15,490 and instructs them to update their bank account information via a provided link.","A viral message claims that the recipient has been approved for an income tax refund of ₹ 15,490.  #PIBFactCheck    This claim is 𝐅𝐚𝐤𝐞.    @IncomeTaxIndia  has 𝐧𝐨𝐭 sent this message.  𝐁𝐞𝐰𝐚𝐫𝐞 of such scams & 𝐫𝐞𝐟𝐫𝐚𝐢𝐧 from sharing your personal information.",https://x.com/PIBFactCheck/status/1746486754629292315,"Forwarded many times Dear Sir, You have been approved an income tax refund of Rs. 15,490 /-, the amount will be credited to your account shortly. Please verify your account number 5XXXXX6755. If this is not correct, please update your bank account information by visiting the link below. https://bit.ly/20wpYK6",https://pbs.twimg.com/media/GDzEYZQboAALqt_?format=jpg&name=small
Finance Ministry,Other,Fake Scheme,"The Union Finance Minister will announce a new 3-day week off policy, increasing working hours and changing leave regulations.",An image circulating on social media claims that the Union Finance Minister  @nsitharaman  will announce a 3-day week off policy in the next #Budget  #PIBFactCheck  This claim is #fake  No such proposal has been floated by  @FinMinIndia,https://x.com/PIBFactCheck/status/1752592545966854197,"2 DAYS WEEK OFF OUTDATED, GOVT BRINGS 3 DAYS WEEK OFF POLICY @ahmedabad_live Union Finance Minister Nirmala Sitharaman Will Present The Sixth Budget On February 1, 2024 The Government Can Make Several Announcements To Promote Business And The Job Going People To Increase Its Income. Your Office's Working Hours, Holidays, And Salary May Change. From July 1, Companies Will Be Able To Increase Working Hours To 12 Hours. Employees Might Have To Work 10-12 Hours A Day For 4 Days. Companies Will Be Able To Give Employees 3 Days Of Leave After These New Rules. Cash In Hand May Decrease, But PF May Increase. The Modi Government Plans To Implement Labor Law Regulations Immediately. #AhmedabadLive",https://pbs.twimg.com/media/GFJ1Vg-aUAAzrCm?format=jpg&name=small
"BSNL, TRAI, Government of India",WhatsApp,Account Block,"A false notice claims that a customer's SIM KYC has been suspended by TRAI and their SIM card will be blocked within 24 hours, urging immediate action.",People have received notices from BSNL claiming:   Customer's KYC has been suspended by  @TRAI    Sim cards will get blocked within 24 hrs  #PIBFactCheck  These Claims are #Fake  BSNL never sends any such notices  Never share your personal & bank details with anyone,https://x.com/PIBFactCheck/status/1760951862939808116,"AN ISO 9001:2008 CERTIFICATES TELECOM COMPANY NOTICE Dear Customer, Your Sim KYC has been suspended by Telecom Regulatory Authority of India. Your Sim card will be blocked within 24 hours. Call Immediately KYC VERIFICATION EXECUTIVE NAME:- RAHUL SHARMA CALL:- 7067821992 Note:- CONTACT THE SERVICE PROVIDER IMMEDIATELY BEFORE SUSPENSION OF YOUR ACCOUNT !! Yours Truly Dev Anan Customer Support GOVN. OF INDIA GOVERNMENT Ministry of Communication GOVERNMENT OF INDIA",https://pbs.twimg.com/media/GHAn6AuXgAAZ1gw?format=jpg&name=small
Income Tax Department,Social Media,False Policy Change,The payment deadline for MSMEs under Section 43B(h) of the Income Tax Act has been extended by one year.,A viral message on social media claims that changes have been made in the provisions of Section 43B(h) regarding payments made to MSME by  @FinMinIndia   #PIBFactCheck  This claim is #fake  The provision as brought in by the Finance Act 2023 has not been changed in any manner,https://x.com/PIBFactCheck/status/1757234973038498000,meeting done successfully one year extended for MSME Relief to traders. 43b(h) of income tax msme payment within 45 days extended one year. Thanks FM for her suppor,https://pbs.twimg.com/media/GGJkST7aoAAxcgj?format=jpg&name=small
RBI,SMS,Financial Security Misinformation,A message falsely attributed to RBI claims that pressing the 'cancel' button twice on an ATM before a transaction can prevent PIN theft.,A post falsely attributed to  @RBI  claims that pressing 'cancel' twice on an ATM before a transaction can prevent PIN theft  #PIBFactCheck  This statement is #FAKE & has NOT been issued by RBI  Keep transactions secure  Conduct fund transfer in private Hide PIN on ATM card,https://x.com/PIBFactCheck/status/1766372560625656166,"Important message. A very useful tip while withdrawing funds from an ATM. - Press 'cancel' button twice before inserting the card. If anyone has set up the key pad to steal your PIN code, this will cancel the set up. Please make it a habit as part of every transaction that you make. Share for Your Circle People.",https://pbs.twimg.com/media/GINoW_XXgAAicB4?format=jpg&name=small
India Post,Website,Fake Scheme,"A fake lucky draw in the name of India Post is offering a chance to win ₹6,000 after seeking personal details.","A #FAKE lucky draw in the name of  @IndiaPostOffice  is viral on social media and is offering a chance to win ₹6,000 after seeking one's personal details  #PIBFactCheck  It's a scam & is not related with India Post  Join us on #Telegram for quick updates:  http:// t.me/PIB_FactCheck",https://x.com/PIBFactCheck/status/1763900749627408659,"axjjen.top/y27gINwG/indiapost/?_t=1650613733197#1650613734938 India Post Government subsidies! Congratulations! India Post Government subsidies! Through the questionnaire, you will have a chance to get 6000 Rupee . भारतीय डाक",https://pbs.twimg.com/media/GHqh9n7XIAAeJVe?format=png&name=small
Unknown,SMS,KYC Fraud,Your KYC is expiring and requires immediate update to avoid account suspension or blocking.,"Have you recently received any 𝐒𝐌𝐒, 𝐂𝐚𝐥𝐥 or 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 messages attempting to commit fraud related to KYC expiry, SIM/Gas/Electricity connection, or impersonation of government officials  Now, report them on 𝐂𝐡𝐚𝐤𝐬𝐡𝐮 facility   https:// sancharsaathi.gov.in/sfc/",https://x.com/PIBFactCheck/status/1764949192420581496,KYC expiry/update scams,https://pbs.twimg.com/media/GH5Us7OWYAEOBcU?format=jpg&name=small
RBI,Other,Account Block,"RBI has made new updates in Aadhaar banking, making it mandatory to transact with Aadhaar at least once a month, failing which the customer's Aadhaar transaction facility will be locked.","दावा:  @RBI  ने आधार बैंकिंग में नए अपडेट किये हैं जिसके अनुसार अब महीने में कम से कम एक बार आधार से पैसों का लेन देन अनिवार्य है, ऐसा ना किये जाने पर कस्टमर का आधार से लेन देन की सुविधा को लॉक कर दिया जायेगा।  #PIBFactCheck   ये दावा फ़र्ज़ी है, ऐसे फ़र्ज़ी कंटेन्ट शेयर न करें।",https://x.com/PIBFactCheck/status/1782652753392939044,"एईपीएस सेवाओं को सक्रिय रखने से सम्बंधित भारतीय रिज़र्व बैंक के निम्न दावे फ़र्ज़ी हैं। भारतीय रिज़र्व बैंक RESERVE BANK OF INDIA NPCI NATIONAL PAYMENTS CORPORATION OF INDIA ADHAAR BANKING NEW UPDATES -2024 प्रिय बैंक खाता धारकों आधार से लेन देन जारी रखना है तो निम्न बिन्दुओं पर ध्यान देवें। 1. महीने में कम से कम एक बार अनिवार्य रूप से आधार से पैसों का लेन देन करें। 2. खाता में मोबाइल नंबर लिंक अनिवार्य है। 3. महीने में एक भी बार आधार से ट्रांजेक्शन नहीं किया पर, ऐसे सभी कस्टमर का आधार से लेन देन की सुविधा डिसेबल, मतलब लॉक कर दिया जायेगा। यह सुचना सभी बैंकों के खाता धारकों के लिए है। NPCI AEPS AADHAAR आधार बैंकिंग को बनाइये आसान जागरूक ग्राहक बनें और बैंकिंग सुविधाओं का लाभ उठायें अधिक जानकारी के लिये नजदीकी ब्रांच पहुँचें",https://pbs.twimg.com/media/GL1AJXXa0AAeb1W?format=jpg&name=small
Ministry of Power,Other,Account Block,The consumer's electricity connection will be disconnected tonight if they do not update their previous month's bill by calling the provided number.,Don't get zapped by this scam!  A #Fake notice circulating on social media claims that your electricity will be cut off if you don't 'update' your bill  #PIBFactCheck   @MinOfPower  has not issued this notice  Be cautious while sharing your personal & financial information,https://x.com/PIBFactCheck/status/1777285562426409225,"MINISTRY OF POWER Notice for Consumer regarding to update your bill immediately Dear consumer, Your electricity power connection will be Disconnected tonight 09:00 pm. Because your previous month bill not updated, please immediately call our officer Mr Devesh joshi ministry of power would like to calrify that consumer's to always keep updated. Now you update your bill by just calling our electicity help line number. To update your bill call our elec city h 09209049706 Follow our official social media accounts @ministryofpower, facebook, instgram and YouTube cheif electricity officer",https://pbs.twimg.com/media/GKovkIGawAAgRN2?format=jpg&name=small
Ministry of Finance,WhatsApp,Fake Scheme,"The Ministry of Finance is giving away ₹46,715 to every citizen of India to alleviate the financial crisis.","A #WhatsApp message with a link claims to offer financial aid of ₹46, 715 to the poor class in the name of the Ministry of Finance and, is further seeking the recipient's personal details  #PIBFactCheck  This message is #FAKE   @FinMinIndia  has announced no such aid!",https://x.com/PIBFactCheck/status/1783026949629374550,"वित्त मंत्रालय MINISTRY OF FINANCE सत्यमेव जयते After taking into consideration the financial crisis experienced by the Indian people, the Ministry of Finance decided to give every citizen an amount of (₹46715) to reduce the severity of the crisis Register for support",https://pbs.twimg.com/media/GL6Q5-FbsAA04vu?format=jpg&name=small
RBI,News Article,Fake Scheme,The Reserve Bank of India has directed all banks to print the essence of Gita on the last page of the passbook.,सोशल मीडिया पर शेयर किए जा रहे एक #फर्जी खबर में दावा किया जा रहा है कि भारतीय रिजर्व बैंक ने सभी बैंकों को पासबुक के आखिरी पन्ने पर गीता का सार प्रिंट कराने का निर्देश दिया है   #PIBFactCheck    @RBI  ने ऐसा कोई निर्देश जारी नहीं किया है   संदिग्ध खबरों को आगे फॉरवर्ड न करें!,https://x.com/PIBFactCheck/status/1789609354561499520,"आर.बी.आई. का सभी बैंकों को निर्देश! पासबुक के आखिरी पन्ने पर प्रिंट करवाएं गीता-सार। तुम क्या ले के आए थे, क्या ले के जाओगे। क्यों रोते हो, तुम्हारा क्या था जो खो गया। जो लिया यहीं से लिया, जो दिया यहीं दिया। जो आज तुम्हारा है, कल किसी और का था। परसों किसी और का हो जाएगा।",https://pbs.twimg.com/media/GNX4NUGWwAAHO5n?format=jpg&name=small
"Khadi And Village Industries Commission (KVIC), Ministry of MSME",Other,Loan Fraud,"A letter falsely claims that a loan of ""17 Lac"" has been approved under the PMEGP Scheme by KVIC, but requires an upfront payment of ""Rupee 51,000"" as collateral.","A #fake approval letter allegedly issued by  @kvicindia , MSME Ministry claims to grant loan of ₹17 Lac on payment of ₹51,000 under PMEGP Scheme  #PIBFactCheck   @minmsme  doesn't directly deal with individual beneficiaries for any of its credit schemes   https:// pib.gov.in/PressReleasePa ge.aspx?PRID=1670661 …",https://x.com/PIBFactCheck/status/1812802113069850819,"Khadi And Village Industries Commission (Ministry Of Micro, Small And Medium Enterprises, Government Of India) K-Block, Chaudhary Building, Connaught Circle - Central Delhi New Delhi 110001 PMEGP Collateral Letter Date: 10-07-2024 Ref: PMEGP/DKYC/DO/2024-2025/847196 Name: Address: District-Bhavnagar-Gujarat-364001. Sub: Approval Of Loan (Under P.M.E.G.P Scheme) Respected Sir/Madam Mr. ................................. Your Loan For 17lac Have Been Approved Under PMEGP Scheme, According To Scheme, 4% Of Rate Of Interest And 30% Of Subsidy Has Been Provided To You. As Per The Scheme You Have To Deposit 3% Of Total Loan Amount As A Collateral Money Before You Became A Beneficiary Of Your Loan Proposal ""We Hereby Demand That You Make Payment Of Sum Of Rupee 51,000 By Depositing The Money"" Yours Faithfully DELHI KHADI & VILLAGE INDUSTRIES BOARD (P.M.E.G.P.) Asst. Director Asst. Director कामये दुखतमानाम्",https://pbs.twimg.com/media/GShdCYpbYAAMk3W?format=jpg&name=small
RBI,WhatsApp,Fake Currency Claim,"A message claims that ₹500 notes with a star symbol are fake and have started circulating in the market, with some banks returning them.",Do you have a ₹500 note with a star symbol (*)  Are you worried it's fake  Fret no more  #PIBFactCheck  The message deeming such notes as fake is false!  Star marked(*)₹500 banknotes have been in circulation since December 2016   https:// rbi.org.in/commonman/Engl ish/scripts/PressReleases.aspx?Id=2015 …,https://x.com/PIBFactCheck/status/1813164474402284006,"Forwarded many times भारतीय रिज़र्व बैंक पाँच सौ रुपये RESERVE BANK OF INDIA 1AB*380187 ₹500 1AB*380187 500 notes marked with * have started circulating in the market. Such note was returned from IndusInd Bank. This is a fake note. Even today received 2-3 such notes from a customer, but returned it immediately due to attention. The customer also said that this note was given by someone in the morning. Be careful, there has been an increase in the number of people walking around with fake notes in the market.",https://pbs.twimg.com/media/GSmnCQPbYAAYgLs?format=png&name=small
"Banks, Government Bodies, and Utility Providers",Other,Account Block,"Fraudulent communications falsely claim that a user's KYC, bank account, SIM, or utility services require urgent updates or face disconnection, often through impersonation, to trick them into providing personal information or money.","Have you recently received any 𝐒𝐌𝐒, 𝐂𝐚𝐥𝐥 or 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 messages attempting to commit fraud related to KYC expiry, SIM/Gas/Electricity connection,or impersonation of government officials  Report such messages on the 𝐂𝐡𝐚𝐤𝐬𝐡𝐮 facility   https:// sancharsaathi.gov.in/sfc/",https://x.com/PIBFactCheck/status/1814954623775477898,PIB FACT CHECK Now report Fraudulent Communications with CHAKSHU Empowering Citizens to Fight Fraud Together Report common fraudulent communications on CHAKSHU KYC expiry/update scams Bank account/wallet/SIM update scams Gas/electricity connection scams Impersonation scams (government official/relative) Sextortion Disconnection of mobile numbers by DoT 3 Easy steps to report Step 1 Visit the Chakshu Facility on the Sanchar Saathi portal Step 2 Provide details of the fraudulent communication Step 3 Submit the report,https://pbs.twimg.com/media/GTADm0SasAAZMOi?format=jpg&name=small
India Post Payments Bank,SMS,Account Block,Your India Post Payments Bank account has been blocked and will remain blocked if you do not immediately update your PAN Card via the provided link.,Claim: The customer's India Post Payments bank account will be blocked within 24 hours if their Pan card is not updated.      #PIBFactCheck:    This claim is #Fake     @IndiaPostOffice  never sends any such messages  Never share your personal & bank details with anyone,https://x.com/PIBFactCheck/status/1825494609881170290,"Today 4:00 PM IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Customer ID (CIF Number)",https://pbs.twimg.com/media/GVV1UIpaQAE9iSB?format=png&name=small
RBI,News Article,False Banking Regulation,"RBI has issued new guidelines stating that a heavy fine will be imposed for holding more than one bank account, as announced by Governor Shaktikanta Das."," Fake News Alert  कुछ आर्टिकल में यह भ्रम फैलाया जा रहा है कि भारतीय रिजर्व बैंक की नई गाइडलाइंस के अनुसार, अब एक से अधिक बैंक में खाता रखने पर जुर्माना लगाया जाएगा।  #PIBFactCheck    @RBI  ने ऐसी कोई गाइडलाइन जारी नहीं की है।   ऐसे फर्जी खबरों से सावधान रहें!",https://x.com/PIBFactCheck/status/1819783579057983821,"दो बैंक में खाता रखने पर लगेगा कड़ा जुर्माना, आरबीआई गवर्नर शक्तिकांत दास - RBI Banking Rule: दो बैंक में खाता रखने पर लगेगा कड़ा जुर्माना, आरबीआई गवर्नर शशिकांत दास ने जारी करी नई गाइडलाइन",https://pbs.twimg.com/media/GUErg4NXIAEIJ0k?format=jpg&name=small
Indian Finance Ministry,Social Media,Economic Misinformation,"Social media posts falsely claim that Finance Minister Nirmala Sitharaman stated India's economy faces an urgent $4 trillion financing gap, implying a national economic crisis, when her statement referred to a global financing gap for Sustainable Development Goals.",Posts on Social Media misinterpret Union Finance Minister remarks at the 3rd Voice Of Global South Summit  #PIBFactCheck  The $4 trillion figure quoted by the FM refers to the annual global financing gap for achieving Sustainable Development Goals by 2030 as estimated by the UN,https://x.com/PIBFactCheck/status/1825891344365297706,"Misleading! Finance Minister's statement taken out of context Manoj Arora @manoj_216 Ok all tax payers, please get ready... She has a problem at hand, and we should support her, no? Sandeep Manudhane @sandeep_PT Be prepared for what they're about to unleash any moment now. Brace for impact. VIPIN @AlgoBoffin #Urgently? is it #BreakingNews for Indians? सीट बेल्ट कस कर बांध लीजिए, हमारे देश की अर्थव्यवस्था भयंकर रूप से पटरी से उतरने वाली है। ‘Financing gap of $4 trillion must be addressed urgently’, says Nirmala Sitharaman @PIBFactCheck",https://pbs.twimg.com/media/GVbeAloaMAMmxwl?format=jpg&name=small
Reserve Bank of India (RBI),WhatsApp,Fake Currency,A message falsely claims that ₹500 notes with a star symbol are fake and have started circulating in the market.,Do you have a ₹500 note with a star symbol (*)  Are you worried it's fake  Fret no more  #PIBFactCheck  The message deeming such notes as fake is false!  Star marked(*)₹500 banknotes have been in circulation since December 2016   https:// rbi.org.in/commonman/Engl ish/scripts/PressReleases.aspx?Id=2015 …,https://x.com/PIBFactCheck/status/1823302342793641999,"Forwarded many times 500 notes marked with * have started circulating in the market. Such note was returned from IndusInd Bank. This is a fake note. Even today received 2-3 such notes from a customer, but returned it immediately due to attention. The customer also said that this note was given by someone in the morning. Be careful, there has been an increase in the number of people walking around with fake notes in the market.",https://pbs.twimg.com/media/GU2rndybYAAVfd6?format=png&name=small
SBI,WhatsApp,Fake Scheme,SBI NetBanking Reward Points worth Rs 9980.00 are expiring today and can be redeemed by installing the 'SBI REWARD App' and claiming the reward via cash deposit.,Beware   Did you also receive a message asking you to download & install an APK file to redeem SBI rewards  #PIBFactCheck   @TheOfficialSBI  NEVER sends links or APK files over SMS/WhatsApp  Never download unknown files or click on such links   https:// x.com/TheOfficialSBI /status/1791851056260936028 …,https://x.com/PIBFactCheck/status/1818615477146730556,"Dear Value Customer, Your SBI NetBanking Reward Points (Rs 9980.00) will expire today! Now Redeem through SBI REWARD App Install & claim your reward by cash deposit in your account. Thankyou Team -SBI SBI REWARD27..apk 1.7 MB • APK",https://pbs.twimg.com/media/GT0Eob9bwAAQ_c2?format=jpg&name=small
Unknown,WhatsApp,Fake Scheme,"A fake ""Students Laptop Scheme 2024"" is available, offering free laptops to students who apply online.",Did you also receive a #WhatsApp message offering free laptops   Beware This is a scam to dupe you   #PIBFactCheck  Never click on such suspicious links  Be cautious while sharing personal information.,https://x.com/PIBFactCheck/status/1834553822401941507,"FREE LAPTOPS FOR STUDENTS 2024 EDITION APPLY ONLINE The Applications for the Students Laptop Scheme 2024 Is Available This scheme is open to all students who for financial reasons are not in a position to purchase a laptop of their own and are in need of laptop in their level of education. In 2024 Over 960,000 students will be given free laptop to enhance their learning Application has began and students that have applied have started getting their laptops Register and apply here https://lc.ke/Students-FREE-LAPTOP STUDENTS LAPTOPS SUPPORT Complete the registration below to check if you qualify for the students lap Be Part of the successful students that will recieve a laptop to help them in learning Better 1. You must be a student Age bracket (10-50) years 2. You must be able to read and write Full Name Enter Your Full Name Select Your Educational Level ------Educational Level------ Select Laptop Brand ------Select Brand------ Select Age Range ------Age Range------",https://pbs.twimg.com/media/GXWkurGb0AA7Tv9?format=jpg&name=small
Mudra Finance,Other,Loan Fraud,"An approval letter claims to grant a loan of ₹3,00,000 under the PM Mudra Yojana at 2% interest, but requires a payment of ₹36,500 as legal insurance charges.","An approval letter claims to grant a loan of ₹3,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹36,500 as legal insurance charges    #PIBFactCheck:   This letter is #Fake    @FinMinIndia  has not issued this letter    Read more:  http:// mudra.org.in/FAQ",https://x.com/PIBFactCheck/status/1831677588391305631,"Ref.:MUDRA/LON/CORRS/20-22/9208 APPROVAL LETTER To, <Name> AADHAR NO :- Subject: Approved of Loan ""<Loan Type>"" Greetings from Mudra Finance. At the outset we welcome you to the world of Mudra Finance. It is my privilege to inform you that an amount of 3,00000 only can be financed by us for you with loan interest rate at 2% Per Ann- umoneducing b.This is to inform your file come under process positively of which. -----Section Break(Continuous)----- Loan Details:- Loan Amt :- 3,00000/- Loan Period:- 3 years/- EMI :-(in Rs.- 8592/- ) Customer account details A/C: Bank Account Details: Mudra Finance Your need to pay legal insurance charge Rs. 36500/- through NEFT/RTGS/Online Banking/UPI in following bank account: Note: Cash Deposited Not Accepted by Company. Online Transaction Needed for your Bank Account /Transaction Verification). (Thank you for choosing Mudra Finance and assuring you our best Services at all time, looking forward to a great and long relationship with you. For More Details Contact our executive. Thanking you Your Truly Dev Anan Customer Business Managing Director M.D. Verified By Er Soumyendu Ganguly @PIBFactCheck @f/PIBFactCheck @PIBFactCheck t.me/PIB_FactCheck",https://pbs.twimg.com/media/GWtsg-SWsAA30Yw?format=png&name=small
RBI,WhatsApp,Account Block,"RBI has introduced new Aadhaar banking updates making it mandatory to transact money at least once a month using Aadhaar, failing which the Aadhaar transaction facility will be locked.","दावा:  @RBI  ने आधार बैंकिंग में नए अपडेट किये हैं जिसके अनुसार अब महीने में कम से कम एक बार आधार से पैसों का लेन देन अनिवार्य है, ऐसा ना किये जाने पर कस्टमर का आधार से लेन देन की सुविधा को लॉक कर दिया जायेगा।  #PIBFactCheck   ये दावा फ़र्ज़ी है, ऐसे फ़र्ज़ी कंटेन्ट शेयर न करें।",https://x.com/PIBFactCheck/status/1836359432168673464,"भारतीय रिज़र्व बैंक RESERVE BANK OF INDIA NPCI ADHAAR BANKING NEW UPDATES -2024 प्रिय बैंक खाता धारकों आधार से लेन देन जारी रखना है तो निम्न बिन्दुओं पर ध्यान देवें। 1. महीने में कम से कम एक बार अनिवार्य रूप से आधार से पैसों का लेन देन करें। 2. खाता में मोबाइल नंबर लिंक अनिवार्य है। 3. महीने में एक भी बार आधार से ट्रांजेक्शन नहीं किया पर, ऐसे सभी कस्टमर का आधार से लेन देन की सुविधा डिसेबल, मतलब लॉक कर दिया जायेगा। यह सुचना सभी बैंकों के खाता धारकों के लिए है। NPCI AEPS आधार बैंकिंग को बनाइये आसान जागरूक ग्राहक बनें और बैंकिंग सुविधाओं का लाभ उठायें अधिक जानकारी के लिये नजदीकी ब्रांच पहुंचें",https://pbs.twimg.com/media/GXwOx71akAEkrSq?format=jpg&name=small
"Banks, Government bodies, DoT",SMS,Fraudulent Updates/Impersonation,"Scammers falsely claim the need for urgent updates to KYC, bank accounts, SIMs, or utility connections, or impersonate government officials, to defraud individuals.","Have you recently received any 𝐒𝐌𝐒, 𝐂𝐚𝐥𝐥 or 𝐖𝐡𝐚𝐭𝐬𝐀𝐩𝐩 messages attempting to commit fraud related to KYC expiry, SIM/Gas/Electricity connection, or impersonation of government officials  Report such messages on the 𝐂𝐡𝐚𝐤𝐬𝐡𝐮 facility  https:// sancharsaathi.gov.in/sfc/",https://x.com/PIBFactCheck/status/1834890659876290749,Now report Fraudulent Communications with CHAKSHU Empowering Citizens to Fight Fraud Together Report common fraudulent communications on CHAKSHU KYC expiry/update scams Bank account/wallet/SIM update scams Gas/electricity connection scams Impersonation scams (government official/relative) Sextortion Disconnection of mobile numbers by DoT 3 Easy steps to report Step 1 Visit the Chakshu Facility on the Sanchar Saathi portal Step 2 Provide details of the fraudulent communication Step 3 Submit the report,https://pbs.twimg.com/media/GXbWEM-bwAMTgEc?format=png&name=small
Ministry of Finance,WhatsApp,Fake Scheme,"The Ministry of Finance is providing financial aid of ₹46,715 to every citizen of India to mitigate the financial crisis.","A #WhatsApp message with a link claims to offer financial aid of ₹46, 715 to the poor class in the name of the Ministry of Finance and, is further seeking the recipient's personal details    #PIBFactCheck:   This message is #FAKE    @FinMinIndia  has announced no such aid!",https://x.com/PIBFactCheck/status/1837083282112139521,"वित्त मंत्रालय MINISTRY OF FINANCE सत्यमेव जयते After taking into consideration the financial crisis experienced by the Indian people, the Ministry of Finance decided to give every citizen an amount of (₹46715) to reduce the severity of the crisis Register for support",https://pbs.twimg.com/media/GX6hC2PaUAEMK5V?format=jpg&name=small
